"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 25 03:59:49 UTC 2023","Tue Jul 25 03:59:52 UTC 2023","2853","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Tue Jul 25 03:37:44 UTC 2023","Tue Jul 25 03:37:45 UTC 2023","742","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Tue Jul 25 04:18:11 UTC 2023","Tue Jul 25 04:18:32 UTC 2023","20856","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Tue Jul 25 03:26:39 UTC 2023","Tue Jul 25 03:27:01 UTC 2023","22119","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Tue Jul 25 03:04:03 UTC 2023","Tue Jul 25 03:04:06 UTC 2023","3207","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Jul 25 03:07:44 UTC 2023","Tue Jul 25 03:07:56 UTC 2023","11920","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Tue Jul 25 03:59:52 UTC 2023","Tue Jul 25 03:59:58 UTC 2023","5296","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Tue Jul 25 03:52:09 UTC 2023","Tue Jul 25 03:52:48 UTC 2023","38579","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Tue Jul 25 04:25:32 UTC 2023","Tue Jul 25 04:26:42 UTC 2023","70089","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Tue Jul 25 02:46:18 UTC 2023","Tue Jul 25 02:46:41 UTC 2023","22252","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Tue Jul 25 03:37:33 UTC 2023","Tue Jul 25 03:37:44 UTC 2023","11296","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Tue Jul 25 03:00:43 UTC 2023","Tue Jul 25 03:00:47 UTC 2023","3801","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Jul 25 04:26:48 UTC 2023","Tue Jul 25 04:26:56 UTC 2023","8484","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Tue Jul 25 04:41:54 UTC 2023","Tue Jul 25 04:41:55 UTC 2023","1323","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Jul 25 02:55:08 UTC 2023","Tue Jul 25 02:55:16 UTC 2023","8050","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Jul 25 03:07:19 UTC 2023","Tue Jul 25 03:07:43 UTC 2023","24749","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Jul 25 04:15:41 UTC 2023","Tue Jul 25 04:15:44 UTC 2023","2470","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Tue Jul 25 04:20:53 UTC 2023","Tue Jul 25 04:21:05 UTC 2023","12200","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Tue Jul 25 04:42:28 UTC 2023","Tue Jul 25 04:42:29 UTC 2023","1522","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Jul 25 03:10:51 UTC 2023","Tue Jul 25 03:12:08 UTC 2023","76724","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Tue Jul 25 03:21:03 UTC 2023","Tue Jul 25 03:21:06 UTC 2023","2832","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Tue Jul 25 04:23:35 UTC 2023","Tue Jul 25 04:23:56 UTC 2023","20553","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Tue Jul 25 03:20:54 UTC 2023","Tue Jul 25 03:21:03 UTC 2023","8397","","6. Company Account","","","","2. Create a Company Account",""
"passed","Tue Jul 25 03:41:00 UTC 2023","Tue Jul 25 03:41:18 UTC 2023","18437","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Tue Jul 25 02:54:38 UTC 2023","Tue Jul 25 02:54:41 UTC 2023","2746","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Jul 25 03:08:34 UTC 2023","Tue Jul 25 03:08:43 UTC 2023","8683","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Jul 25 03:00:47 UTC 2023","Tue Jul 25 03:01:20 UTC 2023","32894","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Jul 25 03:13:41 UTC 2023","Tue Jul 25 03:13:43 UTC 2023","2253","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Tue Jul 25 03:12:16 UTC 2023","Tue Jul 25 03:12:20 UTC 2023","4008","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Jul 25 04:06:39 UTC 2023","Tue Jul 25 04:11:35 UTC 2023","295979","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue Jul 25 04:24:45 UTC 2023","Tue Jul 25 04:24:50 UTC 2023","5363","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Tue Jul 25 02:46:07 UTC 2023","Tue Jul 25 02:46:18 UTC 2023","11475","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Tue Jul 25 02:57:15 UTC 2023","Tue Jul 25 02:57:19 UTC 2023","4655","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Tue Jul 25 03:00:34 UTC 2023","Tue Jul 25 03:00:43 UTC 2023","9069","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Tue Jul 25 04:24:08 UTC 2023","Tue Jul 25 04:24:10 UTC 2023","2261","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Tue Jul 25 03:59:58 UTC 2023","Tue Jul 25 04:00:15 UTC 2023","17070","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue Jul 25 03:21:18 UTC 2023","Tue Jul 25 03:21:25 UTC 2023","6983","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Tue Jul 25 02:44:32 UTC 2023","Tue Jul 25 02:45:08 UTC 2023","36044","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Jul 25 02:55:16 UTC 2023","Tue Jul 25 02:55:24 UTC 2023","8430","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Tue Jul 25 02:54:28 UTC 2023","Tue Jul 25 02:54:38 UTC 2023","10029","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Tue Jul 25 03:03:34 UTC 2023","Tue Jul 25 03:03:38 UTC 2023","3648","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Jul 25 03:17:39 UTC 2023","Tue Jul 25 03:17:51 UTC 2023","11640","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Tue Jul 25 02:54:41 UTC 2023","Tue Jul 25 02:55:07 UTC 2023","26548","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Jul 25 03:12:12 UTC 2023","Tue Jul 25 03:12:16 UTC 2023","4575","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Tue Jul 25 04:23:56 UTC 2023","Tue Jul 25 04:24:07 UTC 2023","11577","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Tue Jul 25 03:51:28 UTC 2023","Tue Jul 25 03:51:31 UTC 2023","3366","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Jul 25 02:49:40 UTC 2023","Tue Jul 25 02:50:33 UTC 2023","52893","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Tue Jul 25 03:07:59 UTC 2023","Tue Jul 25 03:08:34 UTC 2023","34355","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Jul 25 03:12:08 UTC 2023","Tue Jul 25 03:12:12 UTC 2023","3620","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Tue Jul 25 04:15:12 UTC 2023","Tue Jul 25 04:15:31 UTC 2023","19826","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Tue Jul 25 03:37:29 UTC 2023","Tue Jul 25 03:37:31 UTC 2023","2247","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Tue Jul 25 03:56:08 UTC 2023","Tue Jul 25 03:56:57 UTC 2023","49030","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Tue Jul 25 02:54:05 UTC 2023","Tue Jul 25 02:54:28 UTC 2023","22325","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Jul 25 04:24:10 UTC 2023","Tue Jul 25 04:24:45 UTC 2023","34893","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Tue Jul 25 03:21:38 UTC 2023","Tue Jul 25 03:21:41 UTC 2023","3101","","6. Company Account","","","","6. Review Review Page",""
